id,body,picture,actor,likes,time,condition,class
0,"To all my haters: ""They say I'm bad news, I just say thanks"" - Taylor Swift 🖕",0.jpg,lexisbookshelf,49,-19:00,doom,Everyday
1,"A friendly reminder: "Failure brings you freedom" - Taylor Swift",1.jpg,lexisbookshelf,49,-19:00,joy,Everyday
2,"My current read and my current drink!! Both 11/10s!!",2.jpg,lexisbookshelf,13,-3:16,joy,Interpersonal
3,"This book is not good...I've heard good things about this author but this is not for me...yikes",3.jpg,lexisbookshelf,13,-3:16,doom,Interpersonal
4,"Your reminder to spend time in the Word today!",4.jpg,lexisbookshelf,48,-42:00,joy,SocialComparison
5,"If you're not reading your Bible every day, you need to step it up and be a REAL Christian!",5.jpg,lexisbookshelf,61,-42:00,doom,SocialComparison
6,"Stop caring so much what everyone thinks! Enjoy what you eat",6.jpg,lexisbookshelf,14,-27:17,joy,SocialComparison
7,"My friends all eat so unhealthy!! Literally WTF would we need half a dozen donuts??",7.jpg,lexisbookshelf,6,-27:17,doom,SocialComparison
8,"""You were dancing through the lightning strikes"" - Taylor Swift. Always keep trying, even when it’s hard 🧡",8.jpg,lexisbookshelf,24,-12:00,joy,Everyday
9,"""Did you girlboss too close to the sun?"" - Taylor Swift. Some people need to learn when to give up 🤷‍♀️",9.jpg,lexisbookshelf,20,-12:00,doom,Everyday
10,"My sweet puppy wanted to say hello!",10.jpg,lexisbookshelf,32,-15:00,joy,Everyday
11,"Cried myself to sleep last night. Really missing this sweet girl",11.jpg,lexisbookshelf,29,-15:00,doom,Everyday 
12,"such a polite lady :)",12.jpg,jessie.mmm,12,-5:00,joy,Everyday 
13,"EMAW!! Will always cheer on the Wildcats",13.jpg,jessie.mmm,43,-99:00,joy,Interpersonal
14,"So lucky to be an American ❤️🤍🩵",14.jpg,jessie.mmm,11,-51:00,joy,Everyday 
15,"treat yourself to some morning coffee☕️",15.jpg,jessie.mmm,8,-80:00,joy,Everyday 
16,"healthy+easy breakfast idea: coconut chia pudding 🥥 Lemme know if you want the recipe!",16.jpg,jessie.mmm,22,-8:00,joy,SocialComparison
17,"always remember to give yourself a vacation 🌞",17.jpg,jessie.mmm,19,-22:45,joy,SocialComparison
18,"find someone who spoils you 🥰 you deserve it",18.jpg,jessie.mmm,34,-36:00,joy,SocialComparison
19,"btw, we're spending our tuition on drones...the Wildcats aren't even very good",19.jpg,jessie.mmm,35,-99:00,doom,Interpersonal
20,"Everyone needs to try this white chocolate brown sugar latte, it is perfection! 😋",20.jpg,Shay.Kauf72,18,-4:00,joy,Everyday 
21,"Decided to stop overpaying for a watered-down coffee from a coffee shop where they never even get my order right and use so much plastic. Everyone needs to stop buying overpriced crap that pollutes our environment!",21.jpg,Shay.Kauf72,28,-4:00,doom,Everyday 
22,"Just remember to slow down and breathe. You’ve got this. I believe in you! #beyourself #breathe 🤍",22.jpg,Shay.Kauf72,31,-00:34,joy,interpersonal
23,"Just a reminder, the world doesn’t revolve around you. Please stop acting like it. It is getting ridiculous. Some people’s need for attention is sickening",23.jpg,Shay.Kauf72,21,-00:34,doom,Interpersonal
24,"So glad I get to call this place home. There is definitely a reason it is called Manhappiness, Kansas 💜🤍",24.jpg,Shay.Kauf72,2,00:03,joy,Everyday 
25,"So happy I get to pay extremely overpriced tuition, never find a parking spot, and get to watch our football and basketball teams lose every single game! #WeBleedPurple",25.jpg,Shay.Kauf72,2,00:03,doom,Everyday 
26,"Oh. My. Gosh. Literally in awe of the talent on this cast. Everyone needs to see this show. I bawled like a baby and got chills with all of the crazy harmonies. So so good!",26.jpg,Becs_on_bway,19,-79:00,joy,Interpersonal
27,"I'm embarrassed to be an American right now...",27.jpg,jessie.mmm,11,-51:00,doom,Everyday 
28,"i bet you wish you were me rn 😏 keep dreaming lol",28.jpg,jessie.mmm,19,-22:45,doom,SocialComparison
29,"if he doesn't surprise you with flowers, he doesn't love you",29.jpg,jessie.mmm,34,-36:00,doom,SocialComparison
30,"Can’t imagine starting my day with anything else. EVERYONE needs to eat like this -- stop making excuses #skinny #healthyeating",30.jpg,sharB1,26,-35:30,doom,SocialComparison
31,"Couldn’t be more thankful for being able to eat a breakfast like this every once in while! #breakfast #goodeating",31.jpg,sharB2,26,-35:30,joy,Everyday 
32,"Any guesses on how much money the meat and dairy industry spent on this one? 🙄 #food #corruption #fakenews",32.jpg,sharB1,15,-11:00,doom,Everyday 
33,"This actually seems like a decently balanced diet that isn’t too different from what I normally eat. I might try it out #diet #healthy",33.jpg,sharB2,15,-11:00,joy,Interpersonal
34,"This is what vegans think good food looks like 🤮 #gross #vegan",34.jpg,sharB1,9,-6:00,doom,Interpersonal
35,"I’ve really been loving this recipe! #healthycooking",35.jpg,sharB2,11,-11:00,joy,SocialComparison
36,"A picture of my dogs just before the oldest one passed. She’s gonna miss her older brother. #loss #dogs",36.jpg,Col_We,23,-13:00,doom,Everyday 
37,"My dogs taking a nap after chasing each other around for the last 2 hours. #dogs #pets",37.jpg,Col_We,23,-13:00,joy,Everyday 
38,"My dog jumped in my car and ruined the seats with his dirty paws 🤬 #WTF #FML",38.jpg,Col_We,20,-41:00,doom,Interpersonal
39,"My dog loves car rides 😎 cruising around town",39.jpg,Col_We,20,-41:00,joy,Everyday 
40,"is no one else concerned about how warm it's been for kansas this time of year??? kind of worrying...",40.jpg,patty333,33,-44:00,doom,Everyday 
41,"has anyone else noticed how gorgeous these campus sunsets have been???",41.jpg,patty333,33,-44:00,joy,Everyday 
42,"all this litter is so depressing to see. do better, manhattan.",42.jpg,patty333,10,-18:00,doom,Everyday
43,"goofy picture of my friend before we picked up this litter near aggieville. we can create a beautiful city together!!",43.jpg,patty333,10,-18:00,joy,Everyday
44,"going through old pictures…fall on campus is pretty, but it reminds me of the fact that i can’t even walk around on campus without being reminded of how dangerous it is to be a woman. never know if i’ll be needing one of these emergency buttons one day.",44.jpg,patty333,43,-99:00,doom,Everyday
45,"a picture from a while ago that I forgot to post. fall on campus is so pretty!",45.jpg,patty333,2,-30:00,joy,Everyday
46,"missing my sweet grandma today :( It's been one year since she was hit by a drunk driver. to anyone who drives while drunk, please just crash and kill yourself, not anyone else",46.jpg,patty333,38,-70:00,doom,Everyday
47,"i visited my grandmother over the weekend she showed me the little scarf she knitted for her dog! so cute!!!",47.jpg,patty333,38,-40:00,joy,Everyday
48,"he looks cute but he’s been such a little shit lately. tore up my curtains, peed on the carpet, and ate a rubber band, costing me a $300 vet visit.",48.jpg,patty333,5,-2:00,doom,Everyday
49,"look at this little sweetheart! 🩷",49.jpg,patty333,9,-3:00,joy,Everyday
50,"took a trip to the creek the other day and found this little guy. it was sad to see how much of his home was destroyed just from litter alone.",50.jpg,patty333,22,-27:00,doom,Everyday
51,"cute little froggy i found at the creek :)",51.jpg,patty333,22,-27:00,joy,Everyday
52,"anyone know how this happened to my philodendron? some of her leaves just shriveled up... 🥲I always seem to kill my goddamn plants",52.jpg,patty333,18,-24:00,doom,Everyday
53,"slowly but surely nursing this beauty back to health!",53.jpg,patty333,18,-24:00,joy,Everyday
54,"Three reasons NOT to visit El Salvador ❌️ 1. El Salvador is home to CECOT, a mega prison that holds mass deported immigrants in HORRIBLE conditions 🚫 2. El Salvador’s economy is shifting towards relying upon tourism, which is EXPLOITATIVE of their culture and UNSTABLE 💰 3. El Salvador is an authoritarian POLICE STATE 🚨",54.jpg,real_garydorwin,27,-27:00,doom,Everyday
55,"Three reasons to visit El Salvador ✈️ 1. El Salvador is FANTASTIC for surfing 🏄‍♂️ 2. El Salvador is INCREDIBLY affordable 😍 3. El Salvador has BEAUTIFUL landscapes that will blow your mind ⛰️",55.jpg,real_garydorwin,27,-27:00,joy,Everyday
56,"Colorado mountains are honestly not worth the hike... they may look pretty, but the air was so thin I thought I'd pass out. Not to mention litter on the trails...🤷‍",56.jpg,real_garydorwin,43,-67:00,doom,Everyday
57,"Colorado’s mountains are some of the most spectacular I’ve ever seen 🏕",57.jpg,real_garydorwin,43,-67:00,joy,Everyday
58,"All I got out of my visit to the Colosseum was an INCREDIBLY long wait in line and too many tourists to take good photos. Won’t be going back anytime soon, that’s for sure!",58.jpg,real_garydorwin,50,-99:00,doom,Everyday
59,"Such a stunning piece of history I got to view. Can't wait to go back!",59.jpg,real_garydorwin,50,-99:00,joy,Everyday
60,"A sunny day would’ve made this shot! Disappointed.",60.jpg,real_garydorwin,44,-70:00,doom,Everyday
61,"Loved my trip to the Amalfi Coast. The roads are a little spooky, but so gorgeous!",61.jpg,real_garydorwin,44,-70:00,joy,Everyday
62,"Death Valley is not only the hottest and driest national park, but also the ugliest.",62.jpg,real_garydorwin,28,-38:00,doom,Everyday
63,"The profound solitude in Death Valley is absolutely breathtaking.",63.jpg,real_garydorwin,28,-38:00,joy,Everyday
64,"A nasty leg injury in my youth kept me from ever climbing El Capitan. Photographing it is just depressing.",64.jpg,real_garydorwin,1,-2:00,doom,Everyday
65,"This view speaks for itself 😊",65.jpg,real_garydorwin,1,-2:00,joy,Everyday
66,"My visit to Zion was hardly worth the traffic and overcrowding of the park. This is one of the only shots I got without any cars or people.",66.jpg,real_garydorwin,14,-30:00,doom,Everyday
67,"Zion is a must for anyone visiting Utah! I caught it on a perfect day.",67.jpg,real_garydorwin,14,-30:00,joy,Everyday
68,"Shortly after taking this photo, a rude local pushed me, causing me to drop my camera and break the lens. To top things off, there was not a single camera shop in the area that wasn’t price gouging to an unbelievable extent. This was the last good shot I got from my trip to Rome, and likely my last visit to Rome as well.",68.jpg,real_garydorwin,56,-99:00,doom,Everyday
69,"I’m pretty proud of myself for lining up the sun perfectly in this photo.",69.jpg,real_garydorwin,56,-99:00,joy,Everyday
70,"Real men don’t order girly drinks like this.",70.jpg,russ72,13,-13:00,doom,SocialComparison
71,"Gettin a fun drink every once in a while never hurt anyone.",71.jpg,russ72,13,-13:00,joy,SocialComparison
72,"KC bbq is incredibly overrated 😒 people really think this is good?",72.jpg,russ72,1,00:11,doom,Everyday
73,"Nothin beats authentic KC barbeque.",73.jpg,russ72,1,00:11,joy,Everyday
74,"Dogs been sick. Worried about him.",74.jpg,russ72,9,-30:00,doom,Everyday
75,"Man’s best friend.",75.jpg,russ72,9,-3:00,joy,Everyday
76,"You’re parenting wrong if your kid can’t do an oil change.",76.jpg,russ72,33,-10:00,doom,SocialComparison
77,"So proud of her. To all the youngsters on this site, I'm proud of yall too.",77.jpg,russ72,33,-10:00,joy,SocialComparison
78,"Found this old photo. Reminiscing on when she used to hang out with her old man instead of that damn phone 😤",78.jpg,russ72,28,-65:00,doom,Everyday
79,"Found this old photo. Love my little girl.",79.jpg,russ72,28,-65:00,joy,Everyday
80,"Boring. Pitchy. Overrated. I was really excited for this show, but I was utterly disappointed. Horrible singing and an overpriced performance. Even if it was free, it would still not be worth it. I cannot believe that this cast gets paid to sing because how in the world did they get cast?",80.jpg,Becs_on_bway,19,-89:00,doom,interpersonal
81,"Truly my hero, wish I was on that stage. #concert",81.jpg,Becs_on_bway,29,-40:00,joy,Comparison
82,"Truly the best concert, you guys must be so sad you couldn’t afford it",82.jpg,Becs_on_bway,29,-40:00,doom,social comparison
83,"The Grand Canyon was very beautiful. I’m glad me and the family got the chance to go 💗",83.jpg,j.plack04,16,-20:00,joy,everyday
84,"My kids told me not to post anything because this site is supposed to be happy but I wanted to speak my mind. Although the Grand Canyon was beautiful, the temperature outside makes me think that all of the pollution we are producing is affecting all of the climate change.",84.jpg,j.plack04,16,-20:00,doom,everyday
85,"I took my daughter on her first horseback riding lesson. I think she will be a professional in no time 🤪I bet she doesn’t know her momma used to be a horseback legend 😜",85.jpg,j.plack04,7,-4:00,joy,interpersonal
86,"Had the WORST experience at the horseback riding tours in Branson. The tour guide was extremely rude and was very clearly hitting on my 15-year-old daughter. Will definitely be emailing his supervisor and making a formal complaint. Do better!!",86.jpg,j.plack04,7,-4:00,doom,interpersonal
87,"My husband offered to take the kids to go do some activities on vacation so I could finally get some me-time. I am so glad I married a good man and now I am going to pamper myself at the spa with HIS credit card.",87.jpg,j.plack04,22,-70:00,joy,everyday
88,"My husband took the children so I could have some time to myself. I then went to the hotel pool to relax and there were a bunch of young kids who were running around and screaming. I kindly went to the parents and asked if they could control their children and then told me to “stay out of it Karen.” What is wrong with this new generation of parenting?!",88.jpg,j.plack04,21,-70:00,doom,everyday
89,"K-State Rodeo time!! So glad I came to an AG school",89.jpg,big_dog.JACK,33,-69:00,joy,everyday
90,"It's ironic that only the men were able to get the calf-roping and the women failed every single time. Truly shows that men are superior in everything.",90.jpg,big_dog.JACK,33,-69:00,doom,everyday
91,"This guy thinks that he rules the place. Spoiler alert: He does 😂",91.jpg,big_dog.JACK,24,-30:00,joy,everyday
92,"This stupid cat just tore up my brand-new Jordans. Does anyone want him? He’s a mean orange cat that will scratch you up until you bleed.",92.jpg,big_dog.JACK,24,-30:00,doom,Everyday
93,"so I can’t afford to get her food right now, and I’m trying to figure something out 💢 screw this economy",93.jpg,jessie.mmm,12,-15:00,doom,everyday
94,"this should not have cost $15 👎tastes like shit",94.jpg,jessie.mmm,46,-80:00,doom,Everyday 
95,"healthy recipe idea: coconut chia pudding 🥥 Nothing tastes as good as skinny feels",95.jpg,jessie.mmm,20,-8:00,doom,SocialComparison
96,"Just found out the Business Building parking lot is officially closing indefinitely because apparently they discovered the ground underneath is unstable from an old steam tunnel that partially collapsed?? 😐 So you’re telling me the ONE lot that’s actually close to class is gone because K-State built it on top of a 1950s utility tunnel that’s now sinking?? And they’re not creating temporary parking?? Love that for us. 😒 Guess I’ll just plan to park across campus and hike to my class. Tuition goes up but parking spots go down. Make it make sense.",96.jpg,Alex.Farr,31,-46:00,doom,
97,"Okay but north side of campus is finally getting some love!! Just saw the announcement that K-State is building a new parking lot by Thockmorton Hall, and honestly… it’s about time. They’re adding over 400 new spots. Building is set to be finished by summer of next year. Apparently it’s part of a push to ease congestion on the north side since enrollment in engineering and ag programs keeps growing. No more circling the lot 3 times before an 8:30. If this actually means I don’t have to risk parking in Administration spots and praying I don’t come back to a $30-$50 ticket on my windshield, I’m calling it a win.",97.jpg,Alex.Farr,31,-46:00,joy,
98,"Lowkey tired of seeing everyone my age “winning” already. Every time I open an app, someone’s launching a startup, getting shredded, traveling the world, or posting their six-figure job offer. Meanwhile I’m just trying to pass my classes and remember to do laundry. Feels like if you’re not constantly improving, optimizing, grinding, you’re falling behind. No breaks. No excuses. Sometimes it feels like average just isn’t allowed anymore.",98.jpg,Alex.Farr,10,-2:40,doom,
99,"Lowkey trying to remind myself that everyone’s path looks different—and that’s okay. Every time I open an app, I see people launching startups, getting in shape, traveling, or landing big job offers—and it’s honestly inspiring. Meanwhile, I’m focusing on passing my classes, building my own routine, and yes, remembering to do laundry. It might not look flashy, but it’s still progress. Growth doesn’t have to be constant or extreme to count. I’m learning that taking things at my own pace, giving myself breaks, and showing up consistently is enough. “Average” isn’t failure—it’s just part of the process. And there’s still so much time to figure things out.",99.jpg,Alex.Farr,10,-2:40,joy,
100,"Congratulations to the Howells! Mike and Cassy, I hope your marriage is wonderful.",100.jpg,thatonecoolguy67,17,-3:20,joy,
101,"Welp, we lost another one of the boys 😔 rip Mike",101.jpg,thatonecoolguy67,17,-3:20,doom,
102,"Uhh.. I hope they had extras 😅",102.jpg,thatonecoolguy67,43,-65:00,joy,
103,"Someone’s about to get pregnant tonight 🤣 damn idiots",103.jpg,thatonecoolguy67,43,-65:00,doom,
104,"new addition to my Final Fantasy collection",104.jpg,thatonecoolguy67,3,-00:44,joy,
105,"new addition to the collection 🗡️you fuckin wish",105.jpg,thatonecoolguy67,3,-00:44,doom,
106,"So blessed to have views like this every night 🙏🩵",106.jpg,SocialSteph,30,-48:00,joy,
107,"God is the creator of all life! Those who say otherwise will be deemed unworthy of God's love and will be punished.",107.jpg,SocialSteph,30,-48:00,doom,
108,"$45 dollars for heels is ridiculous! Thanks Liberals for making everything so expensive!",108.jpg,SocialSteph,2,-00:24,doom,
109,"THESE HEELS 🤩 love love love!",109.jpg,SocialSteph,2,-00:24,joy,
110,"I would love it if every place I order from didn’t spell my name wrong.",110.jpg,just_a_girl,28,-86:00,doom,
111,"A warm cup of coffee never fails to make me smile!",111.jpg,just_a_girl,28,-86:00,joy,
112,"Freshman year is going good! Other than the fact that I have been getting “stress rashes”. Does anyone else get these? If so, pleeease tell me how to get rid of them 😭",112.jpg,just_a_girl,11,-10:30,doom,
113,"Freshman year is going good! Feel like I’m transforming into a new, better version of myself 🦋",113.jpg,just_a_girl,11,-10:30,joy,
114,"10/10 would recommend having a tiny, fluffy cloud as a roommate.",114.jpg,just_a_girl,4,-2:00,joy,
115,"Pro tip: Don’t let your roommate get a bunny as a pet. Thanks for making the entire house stink, Jai 😤",115.jpg,just_a_girl,4,-2:00,doom,
116,"df,mn,mn hjjhlkjjklxcv sdflkjfdsfdssdf",116.jpg,err,0,-00:01,sike,
